Просмотр содержимого каталога|ls
Просмотр содержимого каталога в подобном табличном виде|ls -l
Узнать текущее местоположение|pwd
Перейти в домашний каталог|cd
Перейти в папку 'bin'|cd bin
Вернуться назад в предыдущюю папку|cd -
Перейти в родительский каталог|cd ..
Перейти на два каталога вверх|cd ../../
Создать папку 'opentest'|mkdir opentest
Создать файл 'testsource.sh'|touch testsource.sh
Перенаправить вывод файла 'text.txt' на экран|cat < text.txt
Сохранить в файл 'dit.txt', находящийся в папке '/home/vit' каталоги и подкаталоги текущей папки в табличном виде|ls -l > dir.txt
Сохранить в файл 'dir.txt' каталоги и подкаталоги текущей папки вместе со скрытым файлами|ls -a > dir.txt
Добавить к файлу 'dir.txt' текущую дату|date >> dir.txt
Перезаписать непустой файл 'dir.txt' календарем на текущий месяц|ncal > dir.txt
Очистить экран терминала|clear
Вывод имен пользователей в системе|who
Завершить сеанс|exit
Вывод календаря|cal
Узнать каталог исполняемого файла программы 'pwd'|which pwd
Посмотреть текущие процессы сеанса|ps
Комбинация клавиш: очистить введенную команду 'Ctrl + *'|U
Комбинация клавиш: удалить слово перед курсором 'Ctrl + *'|W
Комбинация клавиш: послать сигнал SIGINT процессу 'Ctrl + *'|C
Комбинация клавиш: зарегистрировать EOF 'Ctrl + *'|D
Комбинация клавиш: заморозить и перевести в фоновый режим программу 'Ctrl + *'|Z
Запустить находящийся в фоновом режиме процесс 'python3' не переводя его в активный режим|bg python3
Запустить в фоновом режиме процесс 'python3' и перевести его в активный режим|fg python3
Удалить процесс с PID 14563|kill -9 14563
Посмотреть идентификаторы остановленных процессов|jobs
Возобновить работу и вывести из фонового режима процесс с идентификатором 2|fg %2
Разрешить выполнение скрипта 'run.sh'|chmod +x run.sh
Посмотреть руководство по команде 'cat'|man cat
Посмотреть короткую информационную страницу по команде 'cat'|info cat
Посмотреть краткую справку по команде 'cat'|cat --help
Найти команды для операции 'repeat'|apropos repeat
Найти команды для операции 'repeat' (man)|man -k repeat
Скопировать файл 'readme.txt' в новый файл 'readme1.txt'|cp readme.txt readme1.txt
Скопировать файл 'readme.txt' в папку '/test'|cp readme.txt /test
Проверить. Скопировать папку 'test' в 'test1'|cp ./test ./test1
Переименовать файл 'r.txt' в 'ex.txt'|mv r.txt ex.txt
Проверить. Переместить файл 'r.txt' в папку 'test'|mv r.txt /test
Удалить файл 'readme.txt'|rm readme.txt
Удалить пустую папку 'test1'|rmdir test1
Удалить не пустую папку 'test2'|rm -r test2
